Position,Number,Name,Pos_in_swim,Swim_time,T1,Pos_in_bike,Bike_time,T2,Pos_in_run,Run_time,Race_control,Time,Rank,Category
1.,14,VINUELA GONZALEZ Kevin Tarek,3,17:25,1:29,1,1:08:58,55,4,23:41,Finish,1:52:29,1/28,ELM
2.,18,LEJEUNE Emmanuel,15,19:18,1:30,5,1:12:08,55,5,23:52,Finish,1:57:46,2/28,ELM
3.,7,DUPUIS Igor,2,17:23,1:30,8,1:12:56,53,18,25:24,Finish,1:58:07,3/28,ELM
4.,347,NAVARRO Thomas,29,20:02,1:42,4,1:11:27,56,7,24:24,Finish,1:58:34,4/28,ELM
5.,27,LEBOIS Paul,6,17:32,1:32,11,1:14:28,52,9,24:30,Finish,1:58:56,5/28,ELM
6.,585,PETRALIA Jan,63,22:05,1:49,2,1:10:07,1:20,3,23:36,Finish,1:58:58,6/28,ELM
7.,29,LAWSON Théotime,16,19:19,1:32,9,1:13:10,1:00,11,24:37,Finish,1:59:41,7/28,ELM
8.,16,MANTULET Gabin,25,19:55,1:41,6,1:12:11,52,17,25:18,Finish,1:59:59,8/28,ELM
9.,66,VOTTIER Antoine,1,17:22,1:30,17,1:15:33,50,15,25:05,Finish,2:00:22,1/72,M20-24
10.,17,PORAS Maxime,14,19:17,1:26,12,1:14:43,51,14,24:55,Finish,2:01:15,9/28,ELM
11.,15,HEEMERYCK Sander,26,19:58,1:49,10,1:14:03,1:14,12,24:43,Finish,2:01:47,10/28,ELM
12.,1294,VAN HEMEL Tim,17,19:23,2:05,14,1:15:01,1:11,10,24:30,Finish,2:02:12,11/28,ELM
13.,10,TEXEREAU Théo,4,17:29,1:26,29,1:18:22,1:01,6,24:01,Finish,2:02:20,12/28,ELM
14.,2,RIVRON Maxime,69,22:45,2:11,7,1:12:37,1:09,13,24:44,Finish,2:03:28,13/28,ELM
15.,1293,MATTER Tanguy,20,19:25,1:35,15,1:15:03,59,35,26:44,Finish,2:03:47,1/200,M25-29
16.,842,SATTLER Finn,22,19:31,1:36,18,1:15:38,47,32,26:27,Finish,2:04:00,2/72,M20-24
17.,205,DEWEZ Maxime,24,19:51,1:39,22,1:16:57,51,20,25:28,Finish,2:04:48,3/72,M20-24
18.,28,FERANDEAU Julien,7,17:33,1:24,16,1:15:05,4:50,28,25:59,Finish,2:04:53,14/28,ELM
19.,255,MARCEAU Olivier,35,20:30,1:19,13,1:14:46,3:06,23,25:36,Finish,2:05:19,1/117,M50-54
20.,115,FUCHO Diego,28,20:01,1:59,23,1:17:19,1:05,24,25:40,Finish,2:06:06,4/72,M20-24
21.,19,KARDES Alexis,18,19:23,1:48,32,1:19:48,55,8,24:26,Finish,2:06:21,15/28,ELM
22.,796,AESCHLIMANN Pierre,34,20:19,1:47,27,1:17:56,1:07,19,25:25,Finish,2:06:36,1/174,M35-39
23.,3,DELAHAYE Thibaut,23,19:32,1:37,34,1:20:14,48,16,25:09,Finish,2:07:22,16/28,ELM
24.,220,BAELDE Ibe,31,20:10,1:45,25,1:17:51,55,38,26:55,Finish,2:07:37,1/24,M18-19
25.,319,GOURET Maël,19,19:24,2:08,26,1:17:55,1:10,40,27:00,Finish,2:07:38,2/200,M25-29
26.,461,DA MOTA Julien,30,20:05,2:03,21,1:16:38,1:14,81,28:26,Finish,2:08:28,3/200,M25-29
27.,943,DOMANICO Baptiste,491,29:04,2:26,3,1:10:27,1:13,29,26:03,Finish,2:09:14,17/28,ELM
28.,13,LERNO Tom,5,17:31,1:33,42,1:21:17,1:01,68,28:05,Finish,2:09:30,18/28,ELM
30.,1041,BOULAY Jérémy,201,25:37,2:16,19,1:15:49,58,30,26:11,Finish,2:10:54,4/200,M25-29
31.,798,BOURSEAUX Yannick,106,23:55,1:51,20,1:16:35,59,57,27:44,Finish,2:11:07,1/118,M45-49
32.,1,ALLICHON Yann,8,17:33,1:28,39,1:21:10,1:04,161,30:36,Finish,2:11:53,19/28,ELM
33.,235,DE JAEGHER Arthur,42,20:56,1:32,47,1:22:00,1:03,46,27:13,Finish,2:12:45,5/200,M25-29
34.,142,CHOUVELON Corentin,33,20:16,1:59,60,1:23:52,1:21,22,25:34,Finish,2:13:04,20/28,ELM
35.,888,BROUTE Roméo,55,21:51,1:46,41,1:21:16,59,63,27:58,Finish,2:13:51,2/118,M45-49
36.,406,GALLEGO Pierre-Emmanuel,81,23:11,2:19,33,1:19:51,1:01,56,27:42,Finish,2:14:05,2/174,M35-39
37.,250,NOPPE Arthur,27,19:58,1:47,45,1:21:49,49,126,29:45,Finish,2:14:10,2/24,M18-19
38.,6,BISSARDON Mael,38,20:42,1:41,51,1:22:28,55,86,28:37,Finish,2:14:26,21/28,ELM
39.,11,LOPEZ SANTAMARIA Sergio,57,22:00,1:50,44,1:21:46,1:15,54,27:40,Finish,2:14:33,22/28,ELM
40.,396,LEVILLAIN Hugo,98,23:44,2:46,38,1:20:48,1:46,25,25:41,Finish,2:14:47,6/200,M25-29
41.,804,CASTEL Maxence,61,22:02,1:48,48,1:22:01,1:05,64,28:00,Finish,2:14:58,3/24,M18-19
43.,201,DAL Lucas,9,17:35,1:49,73,1:25:26,1:05,112,29:14,Finish,2:15:12,5/72,M20-24
44.,1330,GUEUDRE Thomas,111,24:01,2:18,36,1:20:28,1:24,93,28:48,Finish,2:17:00,1/221,M30-34
